Fecha,Cierre,,,,,
11.04.2025,"51,498.90",,,,,
10.04.2025,"51,514.82",,,,,
09.04.2025,"52,527.67",,,,,
08.04.2025,"50,316.59",,,,,
07.04.2025,"50,458.32",,,,,
04.04.2025,"51,452.73",,,,,
03.04.2025,"54,089.28",,,,,
02.04.2025,"53,800.93",,,,,
01.04.2025,"53,337.90",,,,,
31.03.2025,"52,484.43",,,,,
28.03.2025,"53,172.97",,,,,
27.03.2025,"53,477.74",,,,,
26.03.2025,"52,806.89",,,,,
25.03.2025,"53,203.26",,,,,
24.03.2025,"52,674.84",,,,,
21.03.2025,"52,672.42",,,,,
20.03.2025,"53,100.83",,,,,
19.03.2025,"53,060.76",,,,,
18.03.2025,"52,773.32",,,,,
14.03.2025,"52,484.28",,,,,
13.03.2025,"51,877.12",,,,,
12.03.2025,"52,041.01",,,,,
11.03.2025,"51,510.68",,,,,
10.03.2025,"51,726.88",,,,,
07.03.2025,"52,839.63",,,,,
06.03.2025,"52,816.43",,,,,
05.03.2025,"52,709.40",,,,,
04.03.2025,"52,384.72",,,,,
03.03.2025,"52,081.59",,,,,
28.02.2025,"52,325.73",,,,,
27.02.2025,"52,607.61",,,,,
26.02.2025,"53,296.71",,,,,
25.02.2025,"53,050.33",,,,,
24.02.2025,"53,704.45",,,,,
21.02.2025,"53,738.75",,,,,
20.02.2025,"54,303.93",,,,,
19.02.2025,"54,110.21",,,,,
18.02.2025,"54,476.74",,,,,
17.02.2025,"54,291.64",,,,,
14.02.2025,"54,077.94",,,,,
13.02.2025,"54,160.11",,,,,
12.02.2025,"54,065.72",,,,,
11.02.2025,"53,451.64",,,,,
10.02.2025,"52,928.12",,,,,
07.02.2025,"52,817.75",,,,,
06.02.2025,"52,674.79",,,,,
05.02.2025,"51,570.19",,,,,
04.02.2025,"51,889.75",,,,,
31.01.2025,"51,209.53",,,,,
30.01.2025,"52,050.25",,,,,
29.01.2025,"51,555.78",,,,,
28.01.2025,"51,535.96",,,,,
27.01.2025,"51,687.45",,,,,
24.01.2025,"51,357.31",,,,,
23.01.2025,"51,054.91",,,,,
22.01.2025,"50,944.58",,,,,
21.01.2025,"50,450.26",,,,,
20.01.2025,"50,201.32",,,,,
17.01.2025,"49,940.89",,,,,
16.01.2025,"49,948.15",,,,,
15.01.2025,"50,242.84",,,,,
14.01.2025,"49,844.00",,,,,
13.01.2025,"49,829.97",,,,,
10.01.2025,"49,596.70",,,,,
09.01.2025,"49,807.96",,,,,
08.01.2025,"49,634.26",,,,,
07.01.2025,"50,085.50",,,,,
06.01.2025,"49,493.56",,,,,
03.01.2025,"48,957.24",,,,,
